<<<<<<< HEAD
element_id,text,page_number,filename,chunk_id,relevant
38dc4ba7c2bf7ed7323042c35312ad5f,Article,1,ALD patent background + target paper.pdf,1,False
26e2ffa12765874ed647b25892f5742c,Bacteriophage targeting of gut bacterium attenuates alcoholic liver disease,1,ALD patent background + target paper.pdf,2,True
c63fdce5cb4625e212fa4efac8896883,"https://doi.org/10.1038/s41586-019-1742-x Received: 9 April 2019 Accepted: 2 October 2019 Published online: 13 November 2019

https://doi.org/10.1038/s41586-019-1742-x",1,ALD patent background + target paper.pdf,3,False
d0c8e114f7b68a282cb37bd9079e3521,"Received: 9 April 2019

Accepted: 2 October 2019

Published online: 13 November 2019",1,ALD patent background + target paper.pdf,4,False
c6459af67a5b5bcbc573101561e95a20,"Yi Duan1,2,29, Cristina Llorente1,2,29, Sonja Lang1, Katharina Brandl3, Huikuan Chu1, Lu Jiang1,2, Richard C. White4, Thomas H. Clarke4, Kevin Nguyen4, Manolito Torralba5, Yan Shao6, Jinyuan Liu7, Adriana Hernandez-Morales8, Lauren Lessor9, Imran R. Rahman10, Yukiko Miyamoto1, Melissa Ly11, Bei Gao1, Weizhong Sun1, Roman Kiesel1, Felix Hutmacher1, Suhan Lee1, Meritxell Ventura-Cots12, Francisco Bosques-Padilla13, Elizabeth C. Verna14, Juan G. Abraldes15, Robert S. Brown Jr16, Victor Vargas17,18,",1,ALD patent background + target paper.pdf,5,False
ce9eb7d75f558f48a95a559ddca7a40c,"Jose Altamirano17, Juan Caballería18,19, Debbie L. Shawcross20, Samuel B. Ho1,2, Alexandre Louvet21, Michael R. Lucey22, Philippe Mathurin21, Guadalupe Garcia-Tsao23,24, Ramon Bataller12, Xin M. Tu7, Lars Eckmann1, Wilfred A. van der Donk10,25,26, Ry Young8,9, Trevor D. Lawley6, Peter Stärkel27, David Pride1,11,28, Derrick E. Fouts4 & Bernd Schnabl1,2,28*",1,ALD patent background + target paper.pdf,6,False
a97990c757688b2ad9f9547223e628af,"Chronic liver disease due to alcohol-use disorder contributes markedly to the global burden of disease and mortality1–3. Alcoholic hepatitis is a severe and life-threatening form of alcohol-associated liver disease. The gut microbiota promotes ethanol- induced liver disease in mice4, but little is known about the microbial factors that are responsible for this process. Here we identify cytolysin—a two-subunit exotoxin that is secreted by Enterococcus faecalis5,6—as a cause of hepatocyte death",1,ALD patent background + target paper.pdf,7,True
7700e213119d995bb900c028b2058ba8,"and liver injury. Compared with non-alcoholic individuals or patients with alcohol-use disorder, patients with alcoholic hepatitis have increased faecal numbers of E. faecalis. The presence of cytolysin-positive (cytolytic) E. faecalis correlated with the severity of liver disease and with mortality in patients with alcoholic hepatitis. Using humanized mice that were colonized with bacteria from the faeces of patients with alcoholic hepatitis, we investigated the therapeutic effects of",1,ALD patent background + target paper.pdf,8,True
55628f8d8fcd11065a2f49008a2a0a12,"bacteriophages that target cytolytic E. faecalis. We found that these bacteriophages decrease cytolysin in the liver and abolish ethanol-induced liver disease in humanized mice. Our findings link cytolytic E. faecalis with more severe clinical outcomes and increased mortality in patients with alcoholic hepatitis. We show that bacteriophages can specifically target cytolytic E. faecalis, which provides a method for precisely editing the intestinal microbiota. A clinical trial with a larger cohort",1,ALD patent background + target paper.pdf,9,True
c89b81b155163e63a1fc1b3046eaa555,"is required to validate the relevance of our findings in humans, and to test whether this therapeutic approach is effective for patients with alcoholic hepatitis.",1,ALD patent background + target paper.pdf,10,True
