<<<<<<< HEAD
element_id,text,page_number,filename,chunk_id,relevant
26e2ffa12765874ed647b25892f5742c,Bacteriophage targeting of gut bacterium attenuates alcoholic liver disease,1,ALD patent background + target paper.pdf,2,True
a97990c757688b2ad9f9547223e628af,"Chronic liver disease due to alcohol-use disorder contributes markedly to the global burden of disease and mortality1–3. Alcoholic hepatitis is a severe and life-threatening form of alcohol-associated liver disease. The gut microbiota promotes ethanol- induced liver disease in mice4, but little is known about the microbial factors that are responsible for this process. Here we identify cytolysin—a two-subunit exotoxin that is secreted by Enterococcus faecalis5,6—as a cause of hepatocyte death",1,ALD patent background + target paper.pdf,7,True
7700e213119d995bb900c028b2058ba8,"and liver injury. Compared with non-alcoholic individuals or patients with alcohol-use disorder, patients with alcoholic hepatitis have increased faecal numbers of E. faecalis. The presence of cytolysin-positive (cytolytic) E. faecalis correlated with the severity of liver disease and with mortality in patients with alcoholic hepatitis. Using humanized mice that were colonized with bacteria from the faeces of patients with alcoholic hepatitis, we investigated the therapeutic effects of",1,ALD patent background + target paper.pdf,8,True
55628f8d8fcd11065a2f49008a2a0a12,"bacteriophages that target cytolytic E. faecalis. We found that these bacteriophages decrease cytolysin in the liver and abolish ethanol-induced liver disease in humanized mice. Our findings link cytolytic E. faecalis with more severe clinical outcomes and increased mortality in patients with alcoholic hepatitis. We show that bacteriophages can specifically target cytolytic E. faecalis, which provides a method for precisely editing the intestinal microbiota. A clinical trial with a larger cohort",1,ALD patent background + target paper.pdf,9,True
c89b81b155163e63a1fc1b3046eaa555,"is required to validate the relevance of our findings in humans, and to test whether this therapeutic approach is effective for patients with alcoholic hepatitis.",1,ALD patent background + target paper.pdf,10,True
4d0808dcc0de15622ab920197f3e824e,"The most severe form of alcohol-related liver disease is alcoholic hepa- titis; mortality ranges from 20% to 40% at 1–6 months, and as many as 75% of patients die within 90 days of a diagnosis of severe alcoholic hepatitis7–9. Therapy with corticosteroids is only marginally effective9. Early liver transplantation is the only curative therapy, but is offered only at select centres and to a limited group of patients10.",1,ALD patent background + target paper.pdf,11,True
06099ce696361c3be7c57600551dbda6,We performed 16S ribosomal RNA (rRNA) gene sequencing to deter- mine whether chronic alcohol use and alcoholic hepatitis are associated,1,ALD patent background + target paper.pdf,14,True
7d4f7d11058fefb73c25d74168a266b2,"with an altered composition of the faecal microbiota. Differences in faecal microbiota composition were noted in patients with alcohol-use disorder and alcoholic hepatitis, compared to subjects without alcohol- use disorder (controls) (Fig. 1a, Extended Data Fig. 1a, b, Supplementary Tables 1, 2). One substantial difference that we observed was an increase in the proportion of Enterococcus spp. in patients with alcoholic hepa- titis: in these patients, 5.59% of faecal bacteria were Enterococcus",1,ALD patent background + target paper.pdf,16,True
5d8c1ebe16d59c1d317dffc791695a29,"spp. compared with almost none in controls (0.023%; for comparison, 0.004% of all reads were Enterococcus spp. in the Human Microbiome Project) or patients with alcohol-use disorder (0.024%). Faecal sam- ples from patients with alcoholic hepatitis had about 2,700-fold more E. faecalis than samples from controls, as measured by quantitative PCR (qPCR) (Extended Data Fig. 1c), which is consistent with the 16S rRNA sequencing results. About 80% of patients with alcoholic hepatitis are positive for",1,ALD patent background + target paper.pdf,17,True
2a0fa3f8a748f185786faa503f15c12e,"with faecal samples that were positive for both cylLL and cylLS DNA sequences (cytolysin-positive), in controls (n = 25), patients with alcohol-use disorder (n = 38) or alcoholic hepatitis (n = 82), assessed by qPCR. Statistically significant differences were detected between controls and patients with alcoholic hepatitis (P < 0.01), and between patients with alcohol- use disorder and patients with alcoholic hepatitis (P < 0.001). c, Kaplan–Meier curve of survival of patients with alcoholic",2,ALD patent background + target paper.pdf,30,True
c0cb33fc914a181a931f63d3f064994f,"hepatitis whose faecal samples were cytolysin-positive (n = 25) or cytolysin-negative (n = 54) (P < 0.0001). d, Core genome single-nucleotide polymorphism (SNP) tree of E. faecalis strains isolated from patients with alcoholic hepatitis (n = 93 strains, from 24 patients), showing phylogenetic diversity of cytolysin-positive (red) E. faecalis. Genomically identical isolates from the same patient were combined, and are shown as a single dot. Scale bar represents the nucleotide substitutions per",2,ALD patent background + target paper.pdf,31,True
5f83e60c4dddb2f0280d1a7e278bce89,"SNP site. P values are determined by permutational multivariate analysis of variance (PERMANOVA) followed by false discovery rate (FDR) procedures (a), two-sided Fisher’s exact test followed by FDR procedures (b) or two-sided log- rank (Mantel–Cox) test (c). The exact group size (n) and P values for each comparison are listed in Supplementary Table 10.",2,ALD patent background + target paper.pdf,32,True
561904fc909fe66441a85e2fd6b522a7,"The colonization of mice with E. faecalis induces mild hepatic stea- tosis and exacerbates ethanol-induced liver disease11, by mechanisms that are unclear. Cytolysin is a bacterial exotoxin (or bacteriocin) that is produced by E. faecalis12, and which contains two post-translationally modified peptides (CylLL′′ and CylLS′′) in its bioactive form6. The two peptides are encoded by two separate genes: cylLL and cylLS, respec- tively12. Cytolysin has lytic activity against not only Gram-positive",2,ALD patent background + target paper.pdf,33,True
611eb13b2d6e50c5fddc28b53f5e5681,"bacte- ria, but also eukaryotic cells13. We detected cylLL and cylLS genomic DNA (cytolysin-positive) in faecal samples from 30% of patients with alco- holic hepatitis; none of the faecal samples from controls and only one sample from a patient with alcohol-use disorder was cytolysin-positive, as detected by qPCR (Fig. 1b). Importantly, 89% of cytolysin-positive patients with alcoholic hepatitis died within 180 days of admission, compared to only 3.8% of cytolysin-negative patients (P < 0.0001)",2,ALD patent background + target paper.pdf,34,True
79535293be1afc815d786a3f02a7f4b1,"Our univariate logistic and Cox regression of laboratory and clinical parameters found an association between the detection of cytolysin- encoding genes in faeces and the international normalized ratio (INR), platelet count, the model for end-stage liver disease (MELD) score, the sodium MELD score, the age, serum bilirubin, INR and serum creatinine (ABIC) score and death (Supplementary Table 3). In the multivariate Cox analysis, detection of cytolysin-encoding genes in faeces was associated with",2,ALD patent background + target paper.pdf,38,True
e6d629f4b1c9cb4dc395249f617132df,"90-day (P = 0.004) and with 180-day mortality (P = 0.001) (Supple- mentary Table 3), even after we adjusted for the geographical origin of the patient, antibiotic treatment, platelet count, and creatinine, bilirubin and INR as components of the MELD score. We found no multicollinear- ity between the detection of faecal cytolysin-encoding genes and these cofactors (variance inflation factor < 1.6), which indicates that cytolysin is an independent predictor of mortality in patients with alcoholic",2,ALD patent background + target paper.pdf,39,True
94cde9ce9ef95ccd106fb02ae05cfb3e,"hepatitis. When we performed receiver-operating-characteristic curve analysis for 90-day mortality, cytolysin had an area under the curve of 0.81, which was superior to other widely used predictors for mortality in clinical practice (Extended Data Fig. 1e). On the basis of our findings, we propose that the detection of cytolysin may be a prognostic factor for more severe liver- related outcomes and increased risk of death, and a stronger predictor of mortality than MELD, ABIC and the",2,ALD patent background + target paper.pdf,40,True
902cf4996a4515d0de2f125dc02eddb3,"To determine phylogeny of E. faecalis in patients with alcoholic hepatitis, we performed targeted culturing from stool samples. Whole- genome sequencing of 93 E. faecalis isolates revealed a broad phylo- genetic diversity of cytolysin-positive E. faecalis from patients with alcoholic hepatitis (Fig. 1d), which indicates that cytolysin production is a variable trait among E. faecalis isolates and that cytolysin is car- ried in mobile genetic elements, which include both chromosomally encoded",2,ALD patent background + target paper.pdf,42,True
ebbb35022ddcef9c9c90ac7e6187c74d,pathogenicity islands and plasmids14. Detection of any other antimicrobial resistance genes or virulence genes in E. faecalis isolates did not correlate with disease severity or mortality in patients with alcoholic hepatitis (Supplementary Table 4).,2,ALD patent background + target paper.pdf,43,True
4715251334e04eee26610aa45866c63d,"The total amount of faecal E. faecalis, or faecal E. faecalis positivity, did not correlate with disease severity or mortality in patients with alcoholic hepatitis (Supplementary Tables 5, 6). Cytolysin-positive and cytolysin-negative patients with alcoholic hepatitis had similar amounts of faecal E. faecalis (Extended Data Fig. 1f). Although there were differences in the composition of the gut microbiota in patients with alcoholic hepatitis from different geographical regions (Extended Data",2,ALD patent background + target paper.pdf,44,True
f6ecdb28a54e5d4d94f4a14a103736db,"Fig. 1g), the proportion of cytolysin-positive patients, total amount of faecal E. faecalis, faecal E. faecalis positivity (Extended Data Fig. 1h–j), treatment and clinical outcomes (30-day and 90-day mortality) did not differ significantly among the regions or centres (Supplemen- tary Table 7). In addition, cirrhosis was not associated with cytolysin positivity, the total amount of faecal E. faecalis or faecal E. faecalis positivity in patients with alcoholic hepatitis (Extended Data Fig. 1k–m,",2,ALD patent background + target paper.pdf,45,True
e6db8bdc4405a6e2124134e9bb1b881b,Supplementary Tables 4–6). These results confirm our findings that the presence of cytolysin-producing E. faecalis rather than the total amount or presence of E. faecalis per se determines the severity of alcoholic hepatitis and mortality.,2,ALD patent background + target paper.pdf,46,True
4394ea43077688af40457154fcf3fe86,"To determine whether cytolysin contributes to liver damage mediated by E. faecalis, we gavaged mice with a cytolytic E. faecalis strain (FA2- 2(pAM714)) or a non-cytolytic E. faecalis strain (FA2-2(pAM771))5; the mice were then placed on a chronic–binge ethanol diet15. Compared to mice gavaged with phosphate-buffered saline (PBS), mice fed with ethanol after they were gavaged with cytolytic E. faecalis developed more severe liver injury as indicated by a higher level of alanine amino-",2,ALD patent background + target paper.pdf,48,True
fd3e1df3ce5c323b45e75f5eaef59c84,"two-way ANOVA with Tukey’s post hoc test (h). All results were generated from at least three independent replicates. The exact group size (n) and P values for each comparison are listed in Supplementary Table 10. *P < 0.05, **P < 0.01, ***P < 0.001, ****P < 0.0001.",3,ALD patent background + target paper.pdf,72,True
c721bc91a482f5706172d5baa91a3482,"were gavaged with cytolytic E. faecalis also had more liver inflamma- tion with higher expression levels of mRNAs that encode inflamma- tory cytokines and chemokines (Il1b, Cxcl1 and Cxcl2) (Extended Data Fig. 2d–f), compared with mice given PBS. Mice that were fed ethanol after they were gavaged with non-cytolytic E. faecalis had significantly less ethanol-induced liver injury, steatosis and inflammation (Extended Data Fig. 2a–f) and longer survival times (Extended Data Fig. 2g), as compared",3,ALD patent background + target paper.pdf,73,True
549e1cb07f3051eab773a26b636ae6b4,"To explore the mechanism of cytolysin-associated liver damage, we measured cytolysin in the liver. CylLS was significantly increased in the liver of mice given cytolytic E. faecalis but not in the liver of mice that were not given E. faecalis or of mice gavaged with non-cyto- lytic E. faecalis after chronic ethanol administration (Extended Data Fig. 2h). E. faecalis was detectable in the liver of mice given cytolytic and",3,ALD patent background + target paper.pdf,75,True
b475e1e40238cbba321930bb216f97e5,"non-cytolytic E. faecalis and fed an ethanol diet, but not when mice were fed an isocaloric (control) diet (Extended Data Fig. 2i); this indicates that ethanol-induced changes in the gut barrier are necessary for the translocation of cytolytic E. faecalis from the intestine to the liver. The livers of ethanol-fed mice that were given cytolytic or non-cytolytic E. faecalis had positive E. faecalis cultures (Extended Data Fig. 2j). We observed an increased intestinal permeability in ethanol-fed",3,ALD patent background + target paper.pdf,76,True
7d4ebbeeede3993511a3bce1787cd23e,"mice com- pared with mice fed with an isocaloric diet, but this was independent of gavaging cytolytic or non-cytolytic E. faecalis after chronic ethanol administration (Extended Data Fig. 2k), indicating that cytolysin does not affect intestinal barrier function.",3,ALD patent background + target paper.pdf,77,True
c1a4bb6c553d4c3522586bf5dca2d7c3,"Administration of cytolytic or non-cytolytic E. faecalis to mice did not significantly change the composition of the intestinal microbiota, as shown by 16S rRNA gene sequencing (Extended Data Fig. 2l). Cytolytic E. faecalis did not affect intestinal absorption or hepatic metabolism",3,ALD patent background + target paper.pdf,78,True
087245f4a6bfbf0ce492cdb0a56d81d7,"chronic–binge feeding model, gavaged with control phages against C. crescentus (1010 plaque-forming units (PFUs)) or a cocktail of three or four different phages that target cytolytic E. faecalis (1010 PFUs), 1 day before an ethanol binge. b, Serum levels of ALT.",4,ALD patent background + target paper.pdf,102,True
79afcc0aa50eef5f8916a4e374c1d1ab,"three independent replicates. The exact group size (n) and P values for each comparison are listed in Supplementary Table 10. *P < 0.05, **P < 0.01, *** P < 0.001.",4,ALD patent background + target paper.pdf,104,True
d253e3a43ab52f08a6245d521ebcb8d0,"of ethanol, as indicated by serum levels of ethanol and hepatic levels of Adh1 and Cyp2e1 mRNAs (which encode the two primary enzymes that metabolize ethanol in the liver) (Extended Data Fig. 2m, n). These results indicate that E. faecalis that produce cytolysin promote ethanol- induced liver disease in mice.",4,ALD patent background + target paper.pdf,105,True
ffdc6a9c01768b9a6dedf3176294f83d,"To extend our findings to humans, we colonized germ-free mice with faeces from cytolysin-positive and cytolysin-negative patients with alcoholic hepatitis (Supplementary Table 8). Consistent with our findings from mice colonized with cytolytic E. faecalis, gnotobi- otic C57BL/6 mice colonized with faeces from two cytolysin-positive patients developed more severe ethanol-induced liver injury, steatosis, inflammation and fibrosis than mice given faeces from two cytolysin- negative patients (Fig.",4,ALD patent background + target paper.pdf,106,True
3575029f1aaf0a5f7162ca210a4d3957,"cytolytic E. faecalis to the liver after ethanol administration (Fig. 2g). The overall composition of the intestinal microbiota was not differ- ent between mice fed the control diet and colonized with faeces from cytolysin-positive or cytolysin-negative donors with alcoholic hepatitis, as shown by 16S rRNA gene sequencing. Mice transplanted with faeces from one of the cytolysin-positive patients with alcoholic hepatitis (patient no. 2) showed a microbiota that was significantly different from",4,ALD patent background + target paper.pdf,109,True
6e607ff4fcf96493e90864e165d30e92,"that of the other mouse groups after ethanol administration (Extended Data Fig. 3f). Non-cytolytic E. faecalis was not detected in stool samples from donors with cytolytic E. faecalis (Extended Data Fig. 3g). We did not observe differences in intestinal absorp- tion or hepatic metabolism of ethanol between mice colonized with faeces from cytolysin-positive versus cytolysin-negative patients (Extended Data Fig. 3h, i). Together, these results provide further evi- dence that cytolysin promotes",4,ALD patent background + target paper.pdf,110,True
f4e427a72049170a6628d99269b98ce6,"To determine the mechanism by which cytolysin increases liver dis- ease, we isolated hepatocytes from mice fed ethanol or control diets, and stimulated them with pure bioactive cytolysin peptides (CylLL′′ and CylLS′′)6. Incubation of the primary mouse hepatocytes with the two cytolysin subunits caused a dose-dependent increase in cell death compared to hepatocytes that were incubated with vehicle or with one subunit only (Fig. 2h). When we isolated hepatocytes from ethanol-fed mice and then",5,ALD patent background + target paper.pdf,140,True
214ae1e568b34b33b939e97c1f233f1c,"incubated these hepatocytes with ethanol, we did not observe increased levels of cytolysin-induced cell death compared to hepatocytes isolated from mice on the control diet, which indicates that cytolysin-induced hepatocyte cell death was independent of ethanol. The cytotoxic effects of cytolysin are possibly mediated by pore forma- tion, resulting in cell lysis14.",5,ALD patent background + target paper.pdf,141,True
