text,filename,page_number,section,sub_category
"In one aspect, the present disclosure is directed to a method for preventing or treating alcoholic liver disease or graft-versus-host disease in a subject in need thereof, comprising administering to the subject a therapeutically effective amount of a hyperimmunized egg product obtained from an egg-producing animal, thereby preventing or treating the alcoholic liver disease or the graft-versus-host disease in the subject, wherein the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to an antigen selected from the group consisting of Enterococcus faecalis, Enterococcus faecalis cytolysin toxin, and Enterococcus faecium. The present disclosure is also directed to hyperimmunized eggs and egg products produced by an animal that has been hyperimmunized with an antigen selected from the group consisting of Enterococcus faecalis, isolated Enterococcus faecalis cytolysin toxin, and Enterococcus faecium. Methods of preparing the hyperimmunized eggs and egg products are also disclosed.",gvhd-paper,1,summary of invention,
"In certain aspects the disclosure relates to a method for preventing or treating alcoholic liver disease in a subject in need thereof, comprising administering to the subject a therapeutically effective amount of a hyperimmunized egg product obtained from an egg‑producing animal, thereby preventing or treating the alcoholic liver disease in the subject, wherein the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to an antigen selected from the group consisting of Enterococcus faecalis and Enterococcus faecalis cytolysin toxin.",gvhd-paper,3,summary of invention,
"In certain aspects the disclosure relates to a method for preventing or treating graft‑versus‑host disease in a subject in need thereof, comprising administering to the subject a therapeutically effective amount of a hyperimmunized egg product obtained from an egg‑producing animal, thereby preventing or treating the graft‑versus‑host disease in the subject, wherein the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to an antigen selected from the group consisting of Enterococcus faecalis, Enterococcus faecalis cytolysin toxin, and Enterococcus faecium.",gvhd-paper,3,summary of invention,
"In certain embodiments, the hyperimmunized egg product comprises a therapeutically effective amount of one or more antibodies to Enterococcus faecalis, and a therapeutically effective amount of one or more antibodies to Enterococcus faecalis cytolysin toxin. In certain embodiments, the method further comprises hyperimmunizing the egg‑producing animal with an antigen selected from the group consisting of Enterococcus faecalis, isolated Enterococcus faecalis cytolysin toxin, and Enterococcus faecium. In certain embodiments, the method further comprises collecting a hyperimmunized egg from the egg‑producing animal that has been hyperimmunized, and preparing a hyperimmunized egg product from the hyperimmunized egg. In certain embodiments, the hyperimmunized egg product comprises at least 20% more by weight of an ig antibody specific to an antigen selected from the group consisting of Enterococcus faecalis, Enterococcus faecalis cytolysin toxin, and Enterococcus faecium relative to a control egg product obtained from an egg‑producing animal that is not hyperimmunized. In certain embodiments, the hyperimmunized egg product is administered to the subject 1 to 4 times.",gvhd-paper,3,summary of invention,
"In certain embodiments, the hyperimmunized egg product is administered orally or intravenously.",gvhd-paper,4,summary of invention,
"In certain embodiments, administration of the hyperimmunized egg product to the subject recuces the level of Fnterococcus faecalis in the subject relative to a subject that is not administered the hyperimmunized egg product.",gvhd-paper,4,summary of invention,
"In certain embodiments, administration of the hyperimmunized egg product to the subject reduces lrver injury tn the subject relative to a subject that is not administered the hyperimmunized egg product.",gvhd-paper,4,summary of invention,
"In certain embodiments, the subject is a human.",gvhd-paper,4,summary of invention,
"In certain aspects the disclosure relates to a hyperimmunized egg produced by an animal that has been hyperimmunized with an antigen selected from the group consisting of Lnterococcus jaecalis, isolated Enterococcus faecalis cytolysin toxin, and Enterococcus faectunt, wherein the level of antibodies to the antigen in the hypermmunized egg is increased relative to an egg from an animal that bas not been hyperunmunized.",gvhd-paper,4,summary of invention,
"In certain embodiments, the animal has been hyperimmunized with Faterococcus jaecafis and isolated Enterococcus faecalis cytolysin toxin, and wherein the level of antibodies to the Anierecoccus faecalis and the isolated Enterococcus faecalis cytolysin toxin 1s increased relative to an egg from an animal that has not been hyperimmunized.",gvhd-paper,4,summary of invention,
